cohort_month,m0,m1,m3,m6
2009-12,1.0,0.35287958115183243,0.42513089005235605,0.3769633507853403
2010-01,1.0,0.206266318537859,0.30548302872062666,0.2584856396866841
2010-02,1.0,0.23796791443850268,0.2914438502673797,0.1925133689839572
2010-03,1.0,0.18961625282167044,0.24153498871331827,0.24604966139954854
2010-04,1.0,0.19387755102040816,0.16326530612244897,0.2755102040816326
2010-05,1.0,0.15748031496062992,0.1732283464566929,0.2125984251968504
2010-06,1.0,0.17407407407407408,0.2037037037037037,0.1259259259259259
2010-07,1.0,0.15591397849462366,0.2956989247311828,0.11290322580645161
2010-08,1.0,0.2037037037037037,0.32098765432098764,0.09876543209876543
2010-09,1.0,0.22633744855967078,0.12345679012345678,0.13580246913580246
2010-10,1.0,0.2572944297082228,0.1246684350132626,0.129973474801061
2010-11,1.0,0.1753846153846154,0.09538461538461539,0.12923076923076923
2010-12,1.0,0.09210526315789473,0.09210526315789473,0.05263157894736842
2011-01,1.0,0.16901408450704225,0.19718309859154928,0.15492957746478872
2011-02,1.0,0.16129032258064516,0.18548387096774194,0.1532258064516129
2011-03,1.0,0.18435754189944134,0.2011173184357542,0.20670391061452514
2011-04,1.0,0.25471698113207547,0.19811320754716982,0.1792452830188679
2011-05,1.0,0.23423423423423423,0.16216216216216217,0.26126126126126126
2011-06,1.0,0.23148148148148148,0.26851851851851855,
2011-07,1.0,0.21568627450980393,0.27450980392156865,
2011-08,1.0,0.27358490566037735,0.2641509433962264,
2011-09,1.0,0.2698412698412698,,
2011-10,1.0,0.3212669683257919,,
2011-11,1.0,,,
